Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,DesignWavelength_nm,FSR_nm,Notch_at_0V_nm,dLambda_dV_pm_per_V,PeakIL_dB,PeakIL_near_1310_dB,I_at_-1V_pA,I_at_-2V_pA,FailedContact,Vpi_V,Vpi_L_V_cm,ER_at_-2V_dB,ER_at_0V_dB,FWHM_nm,Q_factor,Centre_nm,Score_Vpi_V,Score_ER_at_-2V_dB,Score_PeakIL_dB,Score_I_at_-1V_pA,Score_Q_factor,Score_FSR_nm,EfficiencyScore
D07,20190715_190855,"(-1,-1)",MZMCTE_LULAB_450_500,DCM_LMZC,-1,-1,C,1550.0,14.454600000000028,1550.825,-191.39428571414172,-11.199917268753053,-11.199917268753053,26032.37,32863.73,False,37.76131545951376,1.6992591956781193,35.47455024719238,32.523377418518066,6.9214314734656455,223.142352260647,1544.4645,0.32541319108069783,0.8377826487143859,0.149478064844144,0.9189157565020272,0.10381333218058317,1.0,0.526482100105864
D07,20190715_190855,"(-3,-1)",MZMCTE_LULAB_450_500,DCM_LMZC,-3,-1,C,1550.0,14.354000000000042,1545.1945,-240.89714285687077,-10.09522533416748,-10.09522533416748,48908.189999999995,73191.94,False,29.792798349062366,1.3406759257078067,39.18709182739258,35.856709480285645,7.189685934090676,215.97094980705685,1552.7633,0.7567266255339019,1.0,0.3552041909554515,0.8394648086051493,0.0,0.9889196972340059,0.6966788295178382
D07,20190715_190855,"(3,-1)",MZMCTE_LULAB_450_500,DCM_LMZC,3,-1,C,1550.0,14.235300000000052,1544.4451,-256.2685714285262,-10.844054651260375,-10.844054651260375,45919.42,67940.39,False,27.774182219551466,1.249838199879816,34.02705001831055,18.870963096618652,7.018077768575267,221.18942696115715,1552.3246,0.865988642995098,0.7412294395780086,0.21575014978705032,0.8498452281724371,0.07396263638951192,0.9635144057848041,0.6587623708890715
D07,20190715_190855,"(-3,-3)",MZMCTE_LULAB_450_500,DCM_LMZC,-3,-3,C,1550.0,14.191100000000006,1548.887,-243.75428571412465,-10.751500368118288,-10.751500368118288,54654.95,85676.62000000001,False,29.109436903692735,1.3099246606661732,38.01692199707031,37.94484233856201,6.941897205036867,224.15487496285047,1556.0601,0.7937150598799486,1.0,0.23298647923755358,0.8195055009459763,0.11928986227260728,0.9540543056832372,0.6972469110354816
D07,20190715_190855,"(0,-3)",MZMCTE_LULAB_450_500,DCM_LMZC,0,-3,C,1550.0,14.176899999999932,1544.7279,-254.50857142836637,-10.050718545913696,-10.050718545913696,48147.270000000004,71285.06,False,27.85151777096463,1.2533182996934085,39.46188735961914,26.847135543823242,7.003033939810166,221.68915834814362,1552.4967,0.8618026869604934,1.0,0.36349266382869855,0.8421075910397764,0.08160109015632012,0.9510150880035357,0.7356909615419954
D07,20190715_190855,"(2,-3)",MZMCTE_LULAB_450_500,DCM_LMZC,2,-3,C,1550.0,14.378600000000006,1550.3687,-255.1085714284375,-13.813859510421754,-13.813859510421754,66632.87000000001,107667.3,False,28.181334557850125,1.2681600551032557,29.261852264404297,34.29246234893799,6.829276944381718,226.08050787429028,1543.9664,0.843950631286882,0.42337447408033835,0.0,0.7779044961368385,0.14872339066188078,0.9941848208199325,0.5495559145537018
D07,20190715_190855,"(-1,-4)",MZMCTE_LULAB_450_500,DCM_LMZC,-1,-4,C,1550.0,14.218399999999974,1548.6314,-251.1771428568073,-11.839429235458374,-11.839429235458374,77830.68,127985.40000000001,False,28.303530803568563,1.2736588861605855,31.233210563659668,33.34557819366455,7.064216572111263,220.332188872123,1556.4743,0.8373364919573724,0.5548708057235958,0.030382129232496946,0.7390129233377373,0.060859650103778154,0.9598973086871333,0.5632544647395219
D07,20190715_190855,"(-4,0)",MZMCTE_LULAB_450_500,DCM_LMZC,-4,0,C,1550.0,14.197450000000003,1552.5087,-234.39428571402343,-11.64125361442566,-11.64125361442566,67602.70999999999,109973.0,False,30.285401277490685,1.362843057487081,34.77379608154297,35.49978733062744,6.793760829490111,227.5397587283066,1545.8507,0.7300634135539142,0.7910399524721881,0.06728825801676996,0.7745361050886354,0.1710282137585354,0.9554133924625328,0.6065909593291384
D07,20190715_190855,"(0,0)",MZMCTE_LULAB_450_500,DCM_LMZC,0,0,C,1550.0,14.559100000000171,1550.4817,-233.1199999999067,-11.970678997039794,-11.970678997039794,8955.287,10668.449999999999,False,31.22662148251115,1.405197966713002,33.36817455291748,34.843289375305176,6.817030360239414,226.47964266155586,1543.9186,0.6791178092994323,0.6972801956776693,0.0059395637010413,0.978226873291006,0.15482421342115948,1.0,0.5932504458034497
D07,20190715_190855,"(2,0)",MZMCTE_LULAB_450_500,DCM_LMZC,2,0,C,1550.0,14.40319999999997,1548.7076,-223.38285714259217,-10.088868188858033,-10.088868188858033,41505.57,59634.770000000004,False,32.238821242236064,1.450746955900623,36.1536808013916,36.50025272369385,7.192432449946864,216.37054095815623,1556.2305,0.6243302812476879,0.8830829762184127,0.35638807836939373,0.8651751514877383,0.00030538991674139025,0.9994499444058592,0.6362670031586092
D07,20190715_190855,"(-1,2)",MZMCTE_LULAB_450_500,DCM_LMZC,-1,2,C,1550.0,14.459299999999985,1548.5505,-230.36571428557846,-10.405753993988037,-10.405753993988037,45946.119999999995,68342.38,False,31.383359378894298,1.4122511720502435,37.90065670013428,37.901883125305176,7.24674516527125,214.70888854441458,1555.9406,0.6706340275040316,0.9996122353797817,0.2973746221577166,0.8497524953082667,0.0,1.0,0.6648612630435139
D07,20190715_190855,"(-3,2)",MZMCTE_LULAB_450_500,DCM_LMZC,-3,2,C,1550.0,14.372499999999945,1543.88,-255.77714285714913,-10.978378438949585,-10.978378438949585,61845.92,100106.7,False,28.095747414042677,1.2643086336319207,18.398858070373535,13.52524471282959,6.9405791559963745,223.55830329511633,1551.6241,0.8485832228254273,0.0,0.19073511019027276,0.7945302483518394,0.11017119328114311,0.9928792413941391,0.4831851584964287
