Wafer,Session,Die,DieCol,DieRow,Device,TestSite,Band,Bias_V,Feature,Centre_nm,FWHM_nm,Q_factor,PeakAmp_dB,LeftEdge_nm,RightEdge_nm
D07,20190715_190855,"(-1,-1)",-1,-1,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1544.4645,6.9214314734656455,223.142352260647,2.7287642236915417,1540.8134835161948,1547.7349149896604
D07,20190715_190855,"(-3,-1)",-3,-1,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1552.7633,7.189685934090676,215.97094980705685,1.7795754970284179,1549.3326393683872,1556.5223253024778
D07,20190715_190855,"(3,-1)",3,-1,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1552.3246,7.018077768575267,221.18942696115715,1.8923453710740432,1548.5692279141358,1555.587305682711
D07,20190715_190855,"(-3,-3)",-3,-3,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1556.0601,6.941897205036867,224.15487496285047,1.8257583377417177,1552.75297591055,1559.694873115587
D07,20190715_190855,"(0,-3)",0,-3,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1552.4967,7.003033939810166,221.68915834814362,1.7774597541429102,1548.8046281781697,1555.8076621179798
D07,20190715_190855,"(2,-3)",2,-3,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1543.9664,6.829276944381718,226.08050787429028,2.704625426675193,1540.4073440066263,1547.236620951008
D07,20190715_190855,"(-1,-4)",-1,-4,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1556.4743,7.064216572111263,220.332188872123,1.8270540318917483,1552.6976404436832,1559.7618570157945
D07,20190715_190855,"(-4,0)",-4,0,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1545.8507,6.793760829490111,227.5397587283066,2.8257918927120045,1542.503204184969,1549.2969650144591
D07,20190715_190855,"(0,0)",0,0,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1543.9186,6.817030360239414,226.47964266155586,2.724118791928049,1540.3855578733865,1547.2025882336259
D07,20190715_190855,"(2,0)",2,0,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1556.2305,7.192432449946864,216.37054095815623,1.9179574394365773,1552.6544194324456,1559.8468518823925
D07,20190715_190855,"(-1,2)",-1,2,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1555.9406,7.24674516527125,214.70888854441458,1.9020958810579032,1552.5707735296864,1559.8175186949577
D07,20190715_190855,"(-3,2)",-3,2,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1551.6241,6.9405791559963745,223.55830329511633,2.3715760163613595,1548.1035221170239,1555.0441012730203
D07,20190715_190855,"(2,2)",2,2,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1545.0738,6.754632826225361,228.7428258129941,2.8476294178981334,1542.0219249667573,1548.7765577929827
D07,20190715_190855,"(0,3)",0,3,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1554.8352,7.250708331993565,214.43907668156083,1.9910763664520346,1551.4272966351407,1558.6780049671343
D08,20190526_082853,"(-1,-1)",-1,-1,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1308.2773,4.749228864065344,275.471521260846,1.8624798182572704,1305.5119353257126,1310.261164189778
D08,20190526_082853,"(-3,-1)",-3,-1,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1313.8775,5.1284268932911345,256.1950335528382,1.6280835708312225,1311.2999585530279,1316.428385446319
D08,20190526_082853,"(3,-1)",3,-1,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1313.0116,4.8593543627898725,270.2028915722393,1.7970845873933285,1310.3830331176314,1315.2423874804213
D08,20190526_082853,"(-3,-3)",-3,-3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1313.126,4.67237169807413,281.04056887024797,1.669268763042055,1310.9550488051732,1315.6274205032473
D08,20190526_082853,"(0,-3)",0,-3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1311.576,4.918061998258054,266.68553598237514,1.768106606497895,1309.0215724800228,1313.9396344782808
D08,20190526_082853,"(2,-3)",2,-3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1309.0241,4.778369703757335,273.94784856657,2.054958625580184,1306.7129178769624,1311.4912875807197
D08,20190526_082853,"(-1,-4)",-1,-4,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1306.1511,4.93342562665589,264.75540503594686,1.461375049650087,1303.517579848118,1308.4510054747739
D08,20190526_082853,"(-4,0)",-4,0,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1308.9325,4.855376555994553,269.5841372764309,1.9374756492034066,1306.691059907544,1311.5464364635386
D08,20190526_082853,"(0,0)",0,0,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1307.561,4.868709320799326,268.5641951171835,1.8211614867323078,1305.4183941660447,1310.287103486844
D08,20190526_082853,"(2,0)",2,0,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1308.3847,4.868707396414948,268.7334837504147,1.8585544039087836,1305.7201379032915,1310.5888452997065
D08,20190526_082853,"(-1,2)",-1,2,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1306.9846,4.993322789871854,261.7464672324021,1.764220026525436,1304.8021834878268,1309.7955062776987
D08,20190526_082853,"(-3,2)",-3,2,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1310.4012,4.718417908869924,277.72046166928976,2.003508455643896,1307.9041274817503,1312.6225453906202
D08,20190526_082853,"(2,2)",2,2,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1305.5649,4.767866401789433,273.82581431182865,1.5458553458738606,1303.1649671828088,1307.9328335845983
D08,20190526_082853,"(0,3)",0,3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1306.2263,4.9030150571841205,266.41286734089425,1.5913570737175178,1303.6011242785612,1308.5041393357453
D08,20190712_113254,"(-1,-1)",-1,-1,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1555.1577532,7.278211848743695,213.67305397526158,1.6433938170196214,1551.7502375756417,1559.0284494243854
D08,20190712_113254,"(-3,-1)",-3,-1,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1551.028273,7.043293370265701,220.21349835403618,2.275794840822826,1547.7349265948824,1554.778219965148
D08,20190712_113254,"(3,-1)",3,-1,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1554.08041381,7.053275466163768,220.3345695578305,1.79037840589789,1550.3381052708355,1557.3913807369993
D08,20190712_113254,"(-3,-3)",-3,-3,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1556.1766497,7.270344044055037,214.04443039700251,1.6751683388208463,1552.3587865737782,1559.6291306178332
D08,20190712_113254,"(0,-3)",0,-3,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1548.59411702,7.080408504509933,218.7153631084433,2.375760278725636,1544.865735903312,1551.946144407822
D08,20190712_113254,"(2,-3)",2,-3,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1545.10081019,6.745718248195544,229.04911728314607,2.8582195920369813,1541.7547026424681,1548.5004208906637
D08,20190712_113254,"(-1,-4)",-1,-4,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1553.21987333,6.9582298709085535,223.2205463380577,1.7568853235644593,1549.882999312128,1556.8412291830366
