category,level,n,mean,median
Region,center,16,0.5457368132108111,0.5552040742872322
Region,edge,44,0.5608564985410496,0.5928358958479513
Quadrant,NE,16,0.5814117023539352,0.6045494936559999
Quadrant,NW,14,0.5605191710152946,0.5329519808498819
Quadrant,SW,17,0.5013331253859078,0.526482100105864
Quadrant,SE,13,0.5951504756724334,0.5938317539708059
Radius,r=0,4,0.5211431862582656,0.5213846324134765
Radius,r=1,4,0.4970511672373911,0.4774803209138173
Radius,r=2,8,0.582376449673794,0.6100965258136047
Radius,r=3,20,0.5747951237088829,0.6142266054807624
Radius,r=4,24,0.5492409775678552,0.5566623129383552
